港剧,36140095,新闻女王,8.0,https://movie.douban.com/subject/36140095/
港剧,1878360,金枝欲孽,9.0,https://movie.douban.com/subject/1878360/
港剧,25708579,使徒行者,8.4,https://movie.douban.com/subject/25708579/
港剧,3292384,宫心计,7.1,https://movie.douban.com/subject/3292384/
港剧,1922656,法证先锋,8.8,https://movie.douban.com/subject/1922656/
港剧,1863941,天龙八部,9.1,https://movie.douban.com/subject/1863941/
港剧,2161882,男亲女爱,9.3,https://movie.douban.com/subject/2161882/
港剧,1863947,神雕侠侣,9.2,https://movie.douban.com/subject/1863947/
港剧,2148680,创世纪1：地产风云,9.0,https://movie.douban.com/subject/2148680/
港剧,3861997,绝代商骄,8.4,https://movie.douban.com/subject/3861997/
港剧,2996855,珠光宝气,7.7,https://movie.douban.com/subject/2996855/
港剧,2157188,倚天剑屠龙刀,8.6,https://movie.douban.com/subject/2157188/
港剧,3023296,封神榜,8.3,https://movie.douban.com/subject/3023296/
港剧,1478186,射雕英雄传,9.2,https://movie.douban.com/subject/1478186/
港剧,1878605,大时代,9.3,https://movie.douban.com/subject/1878605/
港剧,4195676,巾帼枭雄之义海豪情,9.4,https://movie.douban.com/subject/4195676/
港剧,1906433,火舞黄沙,8.5,https://movie.douban.com/subject/1906433/
港剧,2303112,法证先锋2,8.3,https://movie.douban.com/subject/2303112/
港剧,2983389,寻秦记,8.6,https://movie.douban.com/subject/2983389/
港剧,2284418,小鱼儿与花无缺,7.7,https://movie.douban.com/subject/2284418/
港剧,4189694,公主嫁到,7.2,https://movie.douban.com/subject/4189694/
港剧,30156074,金宵大厦,8.4,https://movie.douban.com/subject/30156074/
港剧,2214169,谈判专家,7.9,https://movie.douban.com/subject/2214169/
港剧,3126164,溏心风暴2：家好月圆,8.4,https://movie.douban.com/subject/3126164/
港剧,2190934,陀枪师姐,8.6,https://movie.douban.com/subject/2190934/
港剧,5031426,真相,8.0,https://movie.douban.com/subject/5031426/
港剧,2190925,鉴证实录,8.6,https://movie.douban.com/subject/2190925/
港剧,30481987,叹息桥,8.7,https://movie.douban.com/subject/30481987/
港剧,4202127,读心神探,7.8,https://movie.douban.com/subject/4202127/
港剧,2002924,冲上云霄,8.3,https://movie.douban.com/subject/2002924/
港剧,3023317,天地争霸美猴王,8.2,https://movie.douban.com/subject/3023317/
港剧,2124746,溏心风暴,8.0,https://movie.douban.com/subject/2124746/
港剧,2381076,洗冤录2,7.8,https://movie.douban.com/subject/2381076/
港剧,2295809,醉打金枝,7.5,https://movie.douban.com/subject/2295809/
港剧,3012309,古灵精探,8.0,https://movie.douban.com/subject/3012309/
港剧,5965670,潜行狙击,8.5,https://movie.douban.com/subject/5965670/
港剧,27195042,白色强人,8.1,https://movie.douban.com/subject/27195042/
港剧,5247088,法证先锋3,7.8,https://movie.douban.com/subject/5247088/
港剧,2190931,刑事侦缉档案4,8.4,https://movie.douban.com/subject/2190931/
港剧,4751653,怒火街头,7.9,https://movie.douban.com/subject/4751653/
港剧,2140064,栋笃神探,8.8,https://movie.douban.com/subject/2140064/
港剧,2119419,我和僵尸有个约会1,8.9,https://movie.douban.com/subject/2119419/
港剧,2190926,鉴证实录 II,8.3,https://movie.douban.com/subject/2190926/
港剧,3330144,巾帼枭雄,8.7,https://movie.douban.com/subject/3330144/
港剧,2156698,洗冤录,8.1,https://movie.douban.com/subject/2156698/
港剧,5908503,飞虎,8.1,https://movie.douban.com/subject/5908503/
港剧,34883178,金宵大厦2,7.3,https://movie.douban.com/subject/34883178/
